Threshold,Shoulder,Elbow,Wrist
0,0,0,0
2.5,0.0127226463104326,0.0496277915632754,0.0585034013605442
5,0.0856079404466501,0.188585607940447,0.189115646258503
7.5,0.178660049627792,0.346153846153846,0.357823129251701
10,0.300248138957816,0.503722084367246,0.487836107554417
12.5,0.437965260545906,0.614143920595533,0.606914212548015
15,0.576923076923077,0.714640198511166,0.701664532650448
17.5,0.702233250620347,0.781637717121588,0.774647887323944
20,0.784119106699752,0.842431761786601,0.81562099871959
22.5,0.844913151364764,0.873449131513648,0.854033290653009
25,0.890818858560794,0.911910669975186,0.882202304737516
27.5,0.918114143920596,0.921836228287841,0.901408450704225
30,0.946650124069479,0.933002481389578,0.915492957746479
32.5,0.96029776674938,0.949131513647643,0.924455825864277
35,0.966501240694789,0.957816377171216,0.933418693982074
37.5,0.968982630272953,0.96029776674938,0.942381562099872
40,0.970223325062035,0.961538461538462,0.947503201024328
